Zeit t / s;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s;Spannung U_A / V
229.999;0;230;20.0010843138021;12.0043095471274;1.1640625
230.999;0;231;20.0874698041668;12.1862187160378;1.1640625
232;0;232;20.1738552945315;7.00682534857205;1.1640625
232.999;1;233;20.2602407848962;6.00889556900035;1.1640625
234;1;234;20.3466262752609;8.98459052878408;1.1640625
235;0;235;20.4330117656256;8.00133542288208;1.1640625
236;1;236;20.5193972559903;6.00123865565853;1.1640625
236.999;1;237;20.605782746355;2.9991866205885;0.776041666666667
237.999;0;238;20.6921682367197;13.3199541793576;1.1640625
239;1;239;20.7785537270844;5.99446411239221;0.776041666666667
240;0;240;20.8649392174491;7.77218525869608;0.388020833333333
241.001;1;241;20.9513247078138;7.99762950261543;1.1640625
242;0;242;21.0377101981785;13.0126873701859;1.1640625
243;1;243;21.1240956885432;5.55474888257894;0.776041666666667
243.999;0;244;21.2104811789079;6.99585845179654;0
245;0;245;21.2968666692726;11.0216862699047;1.1640625
245.999;0;246;21.3832521596373;5.55029202861509;1.1640625
247;1;247;21.469637650002;5.55327624417267;1.1640625
248;0;248;21.5560231403667;11.9956275937421;1.1640625
249;0;249;21.6424086307313;8.00485814841027;1.1640625
249.999;0;250;21.728794121096;8.99945283326774;1.1640625
250.999;0;251;21.8151796114607;14.016007682374;1.1640625
252.001;0;252;21.9015651018254;8.87592412238746;0.776041666666667
252.999;0;253;21.9879505921901;11.9880874375133;1.1640625
254.001;2;254;22.0743360825548;11.0118090640403;1.1640625
255;1;255;22.1607215729195;16.0206843055068;1.1640625
256;0;256;22.2471070632842;3.32686627494665;1.1640625
256.999;1;257;22.3334925536489;11.0995145849287;1.1640625
257.999;0;258;22.4198780440136;4.0097336283829;1.1640625
259;1;259;22.5062635343783;14.9998755010333;1.1640625
260;0;260;22.592649024743;7.77574053375793;0.388020833333333
261;1;261;22.6790345151077;6.6615017822848;0.776041666666667
262;0;262;22.7654200054724;11.1107172979091;1.1640625
263;0;263;22.8518054958371;8.88760018686179;0
263.999;0;264;22.9381909862018;6.00191340999511;0
264.999;0;265;23.0245764765665;13.0177718621462;1.1640625
266;1;266;23.1109619669312;9.9916503108902;1.1640625
266.999;0;267;23.1973474572959;7.7700094949516;1.1640625
267.999;0;268;23.2837329476606;8.88769497519722;0
269.001;0;269;23.3701184380253;12.0022324152292;1.1640625
270;2;270;23.4565039283899;10.9916364638147;1.1640625
270.999;1;271;23.5428894187546;4.44341505329043;1.1640625
272;0;272;23.6292749091193;13.0277504111508;0
273;0;273;23.715660399484;14.0036521524814;1.1640625
273.999;0;274;23.8020458898487;8.8865221118331;1.1640625
274.999;0;275;23.8884313802134;7.7643902435778;1.1640625
275.999;0;276;23.9748168705781;11.0171614323632;1.1640625
276.999;1;277;24.0612023609428;12.1918090771565;1.1640625
278;0;278;24.1475878513075;13.0126443865504;1.1640625
279;0;279;24.2339733416722;11.0960537661504;1.1640625
280;0;280;24.3203588320369;13.0152226043581;1.1640625
281;0;281;24.4067443224016;10.0029558734606;1.1640625
281.999;0;282;24.4931298127663;12.0011953190538;0.388020833333333
282.999;0;283;24.579515303131;8.99649766345962;0.776041666666667
284;0;284;24.6659007934957;8.86593105297893;0.388020833333333
285;0;285;24.7522862838604;8.01111060930404;0.388020833333333
285.999;0;286;24.8386717742251;7.00613176652206;0
286.999;0;287;24.9250572645898;13.3020277500252;1.1640625
288;1;288;25.0114427549545;21.012136610106;0.776041666666667
289;0;289;25.0978282453192;6.6651092528046;1.1640625
289.999;0;290;25.1842137356839;9.00657570091924;1.1640625
291;0;291;25.2705992260486;7.77198160660627;0.776041666666667
292;0;292;25.3569847164132;10.0155381058174;0.776041666666667
292.999;0;293;25.4433702067779;8.98068255183101;0.388020833333333
294.001;0;294;25.5297556971426;8.01147563770345;1.1640625
295;0;295;25.6161411875073;14.4194267390522;1.1640625
295.999;0;296;25.702526677872;10.0235875061194;1.1640625
296.999;0;297;25.7889121682367;8.86101705203045;0.388020833333333
298;0;298;25.8752976586014;11.0149163997886;1.1640625
298.999;0;299;25.9616831489661;15.9977555149013;1.1640625
299.999;0;300;26.0480686393308;14.0054257019169;1.1640625
300.999;1;301;26.1344541296955;8.87258305292274;1.1640625
301.999;0;302;26.2208396200602;7.01024336760875;0.388020833333333
302.999;0;303;26.3072251104249;9.01150769532693;1.1640625
304;1;304;26.3936106007896;13.3160461463141;1.1640625
304.999;0;305;26.4799960911543;9.99218056358785;1.1640625
306;1;306;26.566381581519;20.0022622558611;1.1640625
306.999;0;307;26.6527670718837;12.0192729041017;1.1640625
308;0;308;26.7391525622484;6.6600340127937;1.1640625
309;0;309;26.8255380526131;10.9969846268153;1.1640625
310;0;310;26.9119235429778;7.99977440636174;1.1640625
311;1;311;26.9983090333425;10.0069458210944;1.1640625
311.999;0;312;27.0846945237071;8.00237830683279;0.776041666666667
313;0;313;27.1710800140718;8.86682822027684;1.1640625
313.999;0;314;27.2574655044365;12.0128838178947;1.1640625
314.999;0;315;27.3438509948012;2.00483425684353;1.1640625
316;0;316;27.4302364851659;12.1860972140366;1.1640625
317.001;0;317;27.5166219755306;11.0129666669537;1.1640625
318;0;318;27.6030074658953;6.00069428032823;1.1640625
318.999;1;319;27.68939295626;13.3144800296114;1.1640625
320;0;320;27.7757784466247;9.00140691990158;1.1640625
321.001;0;321;27.8621639369894;9.98883359391241;1.1640625
322;0;322;27.9485494273541;10.0335874339351;1.1640625
322.999;0;323;28.0349349177188;6.65039389174622;1.1640625
324;0;324;28.1213204080835;14.0185830336694;1.1640625
325.001;0;325;28.2077058984482;11.1041562079395;1.1640625
326;0;326;28.2940913888129;7.77035794930929;1.1640625
327;0;327;28.3804768791776;9.99683544620153;0.388020833333333
328;0;328;28.4668623695423;13.0045997269234;1.1640625
328.999;0;329;28.553247859907;8.8830172145101;1.1640625
330;0;330;28.6396333502717;12.0032756939369;1.1640625
331;0;331;28.7260188406364;8.88092565888143;1.1640625
332;0;332;28.8124043310011;9.99719301036254;1.1640625
333;0;333;28.8987898213658;5.00204683756593;1.1640625
334;0;334;28.9851753117305;9.99033712392625;1.1640625
335;0;335;29.0715608020951;10.0233021728915;0.776041666666667
336;0;336;29.1579462924598;5.54622249558937;0.776041666666667
337;1;337;29.2443317828245;9.00339427964343;0
338.001;0;338;29.3307172731892;12.2137567317231;0
339;0;339;29.4171027635539;7.77002846938431;0.388020833333333
340;0;340;29.5034882539186;9.02135173528708;0.388020833333333
341.001;0;341;29.5898737442833;7.75791321000837;0.388020833333333
342;0;342;29.676259234648;10.0064882069534;0.388020833333333
343.001;0;343;29.7626447250127;15.9862757822409;0
344;0;344;29.8490302153774;8.0107472184683;0
345.001;0;345;29.9354157057421;7.77435274348579;1.1640625
346.001;0;346;30.0218011961068;11.0161585012897;1.1640625
346.999;0;347;30.1081866864715;6.65379084207715;0.388020833333333
348;0;348;30.1945721768362;13.0036670341036;1.1640625
349.001;0;349;30.2809576672009;18.978504945299;1.1640625
350;0;350;30.3673431575656;15.0358153120734;1.1640625
351;0;351;30.4537286479303;3.33291634846574;0.776041666666667
352.001;0;352;30.540114138295;5.00243118155424;1.1640625
353;0;353;30.6264996286597;4.44367766317657;1.1640625
354;0;354;30.7128851190244;13.3127178501469;1.1640625
355.001;0;355;30.799270609389;6.00726939669694;0.388020833333333
356;0;356;30.8856560997537;6.00073388975472;1.1640625
357.001;0;357;30.9720415901184;13.3243438426875;1.1640625
358;0;358;31.0584270804831;5.99658914009711;1.1640625
359.001;0;359;31.1448125708478;9.02011666418447;1.1640625
360.001;0;360;31.2311980612125;7.76441435795503;0
361;0;361;31.3175835515772;10.0134711227014;1.1640625
362;0;362;31.4039690419419;12.2003524127251;0.776041666666667
363;0;363;31.4903545323066;10.0033781407981;1.1640625
364;0;364;31.5767400226713;9.00390499359572;1.1640625
365.001;0;365;31.663125513036;8.8819629315718;1.1640625
366.001;0;366;31.7495110034007;4.00614703200591;1.1640625
367;0;367;31.8358964937654;9.98225377107365;1.1640625
368;0;368;31.9222819841301;8.0116505422185;1.1640625
369;0;369;32.0086674744948;11.0909920515296;0
370;0;370;32.0950529648595;3.33327666762998;1.1640625
371;0;371;32.1814384552242;7.76371424074812;1.1640625
372;0;372;32.2678239455889;12.0018026707611;1.1640625
373;0;373;32.3542094359536;6.66604376191069;0
374;0;374;32.4405949263183;3.00092698634608;1.1640625
375;0;375;32.526980416683;10.0042468027678;1.1640625
376;0;376;32.6133659070477;5.5520879681701;1.1640625
377.001;0;377;32.6997513974123;11.9995044204674;1.1640625
378;0;378;32.786136887777;9.00477072753145;1.1640625
379;0;379;32.8725223781417;12.2094823057408;1.1640625
380;0;380;32.9589078685064;6.01016258391314;1.1640625
381;0;381;33.0452933588711;6.6655735126106;1.1640625
382;0;382;33.1316788492358;3.33101013881763;1.1640625
382.999;0;383;33.2180643396005;9.98021035178467;1.1640625
384.001;0;384;33.3044498299652;9.0215145077982;1.1640625
385;1;385;33.3908353203299;8.87866165717778;1.1640625
386;0;386;33.4772208106946;10.9961557439519;1.1640625
387.001;0;387;33.5636063010593;10.0149723837137;0.388020833333333
388;0;388;33.649991791424;9.98303660236001;1.1640625
389;0;389;33.7363772817887;8.88612431687919;1.1640625
390.002;0;390;33.8227627721534;8.87730893257018;1.1640625
391;0;391;33.9091482625181;11.0022345538379;1.1640625
392;0;392;33.9955337528828;10.015125844563;1.1640625
392.999;0;393;34.0819192432475;8.00235589357507;1.1640625
394;0;394;34.1683047336122;8.87338216059757;0.388020833333333
395.001;0;395;34.2546902239769;12.0171472674359;1.1640625
396;0;396;34.3410757143416;6.66569791856917;1.1640625
397;1;397;34.4274612047063;11.0979378588726;1.1640625
398.001;0;398;34.513846695071;6.65560726592645;1.1640625
399;0;399;34.6002321854356;16.0148233204654;1.1640625
400;0;400;34.6866176758003;10.0163667432585;1.1640625
401.001;1;401;34.773003166165;6.64934585951883;1.1640625
402;0;402;34.8593886565297;8.99848285579051;0.776041666666667
403;0;403;34.9457741468944;8.01014966063499;1.1640625
404.001;0;404;35.0321596372591;9.99293277587573;1.1640625
405.001;0;405;35.1185451276238;12.0214257871805;1.1640625
406;0;406;35.2049306179885;14.4008227522365;1.1640625
407;0;407;35.2913161083532;12.0123318598874;1.1640625
408;0;408;35.3777015987179;7.97805953846327;1.1640625
409;0;409;35.4640870890826;15.0610635761632;1.1640625
410;0;410;35.5504725794473;13.3141062845134;1.1640625
411;0;411;35.636858069812;8.01269451191523;1.1640625
412.001;0;412;35.7232435601767;13.3204450627104;1.1640625
413;1;413;35.8096290505414;4.00311882988036;1.1640625
414;0;414;35.8960145409061;11.0063055124281;1.1640625
415.001;0;415;35.9824000312708;6.98937963764061;1.1640625
416;0;416;36.0687855216355;9.00852206187053;1.1640625
417.001;0;417;36.1551710120002;8.99190279153622;1.1640625
417.999;0;418;36.2415565023649;10.0230319250606;1.1640625
419.001;0;419;36.3279419927295;13.3129807442156;1.1640625
420;0;420;36.4143274830942;6.00698131368276;1.1640625
421;0;421;36.5007129734589;5.54655780622546;1.1640625
422;0;422;36.5870984638236;7.77736989793424;0.776041666666667
423.001;0;423;36.6734839541883;10.0077800482095;1.1640625
424;0;424;36.759869444553;6.65933621734386;1.1640625
424.999;0;425;36.8462549349177;5.00210838868583;1.1640625
426;0;426;36.9326404252824;7.99051765270154;1.1640625
427;0;427;37.0190259156471;13.0101388011678;1.1640625
428.001;0;428;37.1054114060118;15.0043302497101;1.1640625
429;0;429;37.1917968963765;8.88844545422123;1.1640625
429.999;0;430;37.2781823867412;10.998857218735;1.1640625
431;0;431;37.3645678771059;6.66584898919066;1.1640625
432;0;432;37.4509533674706;11.1022219320842;1.1640625
433.001;0;433;37.5373388578353;5.00368120826492;1.1640625
433.999;0;434;37.6237243482;6.66459545850029;1.1640625
435;0;435;37.7101098385647;9.00554651609927;1.1640625
436;0;436;37.7964953289294;12.0111439393469;1.1640625
437;0;437;37.8828808192941;14.4188142011567;1.1640625
438;0;438;37.9692663096588;9.99218710889955;1.1640625
438.999;0;439;38.0556518000235;10.0227184960149;1.1640625
440;0;440;38.1420372903882;4.99348898970632;1.1640625
440.999;0;441;38.2284227807528;10.0143836592498;1.1640625
442;0;442;38.3148082711175;7.7643902435778;0.776041666666667
442.999;0;443;38.4011937614822;12.0179500101351;1.1640625
444;0;444;38.4875792518469;8.98588407470704;1.1640625
444.999;0;445;38.5739647422116;9.01184516929052;1.1640625
445.999;0;446;38.6603502325763;9.98913071587771;1.1640625
447;0;447;38.746735722941;3.33144181470299;1.1640625
447.999;0;448;38.8331212133057;6.01000906910369;1.1640625
449.001;0;449;38.9195067036704;14.4418898345981;1.1640625
450;0;450;39.0058921940351;7.76472269069382;0.776041666666667
450.999;0;451;39.0922776843998;5.55482910734896;1.1640625
452;0;452;39.1786631747645;9.01326752980387;0.388020833333333
453;0;453;39.2650486651292;6.65650440327766;1.1640625
453.999;0;454;39.3514341554939;9.01333793747988;0
455;0;455;39.4378196458586;6.62663223615815;1.1640625
456;0;456;39.5242051362233;8.02229154150638;1.1640625
456.999;0;457;39.610590626588;6.01048408739364;0.388020833333333
