Zeit t / s;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s;Spannung U_A / V
196;8;196;17.0639776414025;7.99933045604083;0.388020833333333
196.999;6;197;17.1503631317672;4.99975151234984;1.1640625
198;6;198;17.2367486221319;3.3278523604956;1.1640625
199;10;199;17.3231341124966;5.55375552168258;1.1640625
200;8;200;17.4095196028613;1.11047493236097;1.1640625
201;2;201;17.495905093226;5.55318804638511;0.776041666666667
202;5;202;17.5822905835907;3.00716004807447;1.1640625
203;2;203;17.6686760739554;5.54583801494492;1.1640625
203.999;6;204;17.7550615643201;4.00064250318601;0.776041666666667
204.999;2;205;17.8414470546847;7.01058738907498;1.1640625
206;1;206;17.9278325450494;3.32742678108282;0.776041666666667
206.999;3;207;18.0142180354141;5.54961315311594;0.776041666666667
208;1;208;18.1006035257788;4.00239062792206;1.1640625
209;3;209;18.1869890161435;8.01439786576585;1.1640625
209.999;4;210;18.2733745065082;4.43493643350173;1.1640625
210.999;6;211;18.3597599968729;5.00457067439693;0.388020833333333
212;2;212;18.4461454872376;2.22096318287122;1.1640625
212.999;0;213;18.5325309776023;8.88695350790272;1.1640625
213.999;3;214;18.618916467967;4.44025974631464;1.1640625
215;0;215;18.7053019583317;6.01344968155777;1.1640625
215.999;0;216;18.7916874486964;1.10808910587736;0.388020833333333
217;3;217;18.8780729390611;6.00397463120586;0
217.999;4;218;18.9644584294258;3.33166786958386;0.388020833333333
218.999;2;219;19.0508439197905;6.00113781572986;0
219.999;3;220;19.1372294101552;4.44431704068928;0
221;5;221;19.2236149005199;3.99971961965466;0.776041666666667
221.999;3;222;19.3100003908846;1.11088621836779;1.1640625
222.999;4;223;19.3963858812493;6.00793106980525;1.1640625
224.001;4;224;19.482771371614;3.3236382804692;1.1640625
225;1;225;19.5691568619787;4.00328309246413;1.1640625
226.001;3;226;19.6555423523434;2.22096490930967;1.1640625
226.999;0;227;19.7419278427081;5.55348719010431;1.1640625
228.001;1;228;19.8283133330727;5.00758448746471;1.1640625
229;1;229;19.9146988234374;9.99833805403013;1.1640625
229.999;1;230;20.0010843138021;3.32995675718155;1.1640625
231;2;231;20.0874698041668;4.43697159827925;1.1640625
232;2;232;20.1738552945315;7.01601053604325;1.1640625
232.999;0;233;20.2602407848962;2.22101300403114;0
234;0;234;20.3466262752609;2.99754471112712;1.1640625
235.001;1;235;20.4330117656256;5.544247754247;1.1640625
236.001;5;236;20.5193972559903;4.00330512871427;1.1640625
237;1;237;20.605782746355;0.999486763546919;1.1640625
238;0;238;20.6921682367197;7.99713542609037;1.1640625
239;5;239;20.7785537270844;6.00066907460182;1.1640625
240;3;240;20.8649392174491;4.00516586293001;0.388020833333333
241.001;6;241;20.9513247078138;1.1095725039057;0.776041666666667
242;9;242;21.0377101981785;5.00695616419892;1.1640625
243.001;13;243;21.1240956885432;3.33193133067231;1.1640625
244.001;27;244;21.2104811789079;4.00099184587859;1.1640625
245;53;245;21.2968666692726;5.54725747473529;1.1640625
246.001;59;246;21.3832521596373;4.99298286188591;1.1640625
247;96;247;21.469637650002;4.00390180230635;1.1640625
248.001;91;248;21.5560231403667;3.00749437523364;1.1640625
249;82;249;21.6424086307313;6.64974970342116;1.1640625
250.001;63;250;21.728794121096;3.33150914699151;1.1640625
251;76;251;21.8151796114607;8.00270011101746;1.1640625
252.001;41;252;21.9015651018254;4.44255734480787;1.1640625
252.999;37;253;21.9879505921901;4.4442967950287;1.1640625
254.001;21;254;22.0743360825548;3.33001294043029;1.1640625
255;16;255;22.1607215729195;6.00535617717442;1.1640625
256.001;5;256;22.2471070632842;3.00206121523038;0.776041666666667
257;3;257;22.3334925536489;5.99717413154921;1.1640625
258.001;4;258;22.4198780440136;0;1.1640625
