wert,wert,wert,wert
s,t,U,I
477,57.33291724,-0.048,-0.088965461
478,57.453367,-0.046,-0.089125618
479,57.57380678,-0.044,-0.08889325
480,57.69424504,-0.042,-0.089068189
481,57.81470272,-0.04,-0.088882521
482,57.93515518,-0.038,-0.088946983
483,58.05560812,-0.036,-0.088872567
484,58.1760555,-0.034,-0.088818833
485,58.29652038,-0.032,-0.089015141
486,58.41695278,-0.03,-0.08885996
487,58.5374084,-0.028,-0.088894263
488,58.65786332,-0.026,-0.088710949
489,58.77831218,-0.024,-0.088871822
490,58.89875302,-0.022,-0.088759437
491,59.01921414,-0.02,-0.088649884
492,59.13966394,-0.018,-0.088580295
493,59.26009692,-0.016,-0.088761523
494,59.38054198,-0.014,-0.088917986
495,59.50098532,-0.012,-0.088815555
496,59.62143212,-0.01,-0.088889852
497,59.74188196,-0.008,-0.088594392
498,59.8623433,-0.006,-0.088737413
499,59.98277736,-0.004,-0.088601306
500,60.10321918,-0.002,-0.088814989
501,60.22366276,0,-0.088819191
502,60.34442306,0.002,-0.088722959
503,60.4648717,0.004,-0.088832453
504,60.58532856,0.006,-0.088798389
505,60.70577084,0.008,-0.088858888
506,60.8262401,0.01,-0.088693038
507,60.94669682,0.012,-0.088813111
508,61.06715934,0.014,-0.088581815
509,61.18760756,0.016,-0.088761762
510,61.30803678,0.018,-0.088977054
511,61.42848198,0.02,-0.088923439
512,61.54892088,0.022,-0.088967159
513,61.66938268,0.024,-0.088624701
514,61.7897994,0.026,-0.08891435
515,61.91025394,0.028,-0.089002326
516,62.03070412,0.03,-0.089159206
517,62.15115448,0.032,-0.08905606
518,62.27159224,0.034,-0.08869414
519,62.39202624,0.036,-0.088929608
520,62.51248352,0.038,-0.08888109
521,62.6329164,0.04,-0.089109436
522,62.7533635,0.042,-0.088926598
523,62.87383294,0.044,-0.089110985
524,62.99429414,0.046,-0.088970318
525,63.11472866,0.048,-0.08895658
526,63.2351844,0.05,-0.08895953
527,63.3556284,0.052,-0.088980868
528,63.47607436,0.054,-0.089031681
529,63.5965106,0.056,-0.08898069
530,63.71697132,0.058,-0.08880721
531,63.83740126,0.06,-0.088895783
532,63.95784996,0.062,-0.0889716
533,64.07831848,0.064,-0.08901225
534,64.19876622,0.066,-0.088972166
535,64.3192296,0.068,-0.088882878
536,64.43965772,0.07,-0.088905498
537,64.5601327,0.072,-0.088949814
538,64.68056778,0.074,-0.088539168
539,64.80103082,0.076,-0.088730261
540,64.92147686,0.078,-0.088766798
541,65.0419227,0.08,-0.088950261
542,65.16236482,0.082,-0.088739738
543,65.28282526,0.084,-0.088585928
544,65.40326604,0.086,-0.088819996
545,65.52370112,0.088,-0.088858202
546,65.64416136,0.09,-0.088968322
547,65.7646084,0.092,-0.088963315
548,65.88506776,0.094,-0.089036003
549,66.00549858,0.096,-0.089006439
550,66.12594478,0.098,-0.089101836
551,66.24637098,0.1,-0.089089736
552,66.36682962,0.102,-0.088864878
553,66.4872779,0.104,-0.088990822
554,66.60772822,0.106,-0.088605002
555,66.72817164,0.108,-0.088909462
556,66.84862734,0.11,-0.08889471
557,66.96906924,0.112,-0.088978902
558,67.08953762,0.114,-0.088934943
559,67.20998414,0.116,-0.088945255
560,67.33043228,0.118,-0.088997379
561,67.45088622,0.12,-0.088725075
562,67.57131988,0.122,-0.088684335
563,67.691756,0.124,-0.088666514
564,67.81218364,0.126,-0.088810548
565,67.93262916,0.128,-0.088893846
566,68.05306008,0.13,-0.088938817
567,68.17351558,0.132,-0.08893688
568,68.29395164,0.134,-0.088971511
569,68.41440872,0.136,-0.089061841
570,68.53485822,0.138,-0.089043424
571,68.65532166,0.14,-0.089090273
572,68.77576718,0.142,-0.089035943
573,68.89620846,0.144,-0.089075789
574,69.01666036,0.146,-0.089177594
575,69.1371023,0.148,-0.089117095
576,69.25756832,0.15,-0.089119032
577,69.3780019,0.152,-0.089035347
578,69.49846648,0.154,-0.089087561
579,69.6189051,0.156,-0.088791981
580,69.73936284,0.158,-0.088879094
581,69.85979466,0.16,-0.088864997
582,69.98024292,0.162,-0.088984713
583,70.10067204,0.164,-0.089008287
584,70.22112658,0.166,-0.089068159
585,70.34156434,0.168,-0.089143828
586,70.46199262,0.17,-0.088990077
587,70.58243576,0.172,-0.088993683
588,70.7028693,0.174,-0.088531986
589,70.82331468,0.176,-0.088731751
590,70.943753,0.178,-0.088744178
591,71.06420806,0.18,-0.08879073
592,71.18465948,0.182,-0.088726953
593,71.30510608,0.184,-0.088879034
594,71.42554234,0.186,-0.088997617
595,71.54600294,0.188,-0.089033023
596,71.66645008,0.19,-0.089115486
597,71.78689588,0.192,-0.088836029
598,71.907332,0.194,-0.08906211
599,72.02777858,0.196,-0.088975534
600,72.1482175,0.198,-0.088888511
601,72.26863524,0.2,-0.089058056
602,72.3890902,0.202,-0.089154497
603,72.50952786,0.204,-0.089125887
604,72.62997408,0.206,-0.08905597
605,72.75040828,0.208,-0.088892564
606,72.8708606,0.21,-0.089069352
607,72.99129294,0.212,-0.089067206
608,73.11174224,0.214,-0.089018717
609,73.23218898,0.216,-0.088940814
610,73.35263856,0.218,-0.088933721
611,73.47306366,0.22,-0.088682875
612,73.59352782,0.222,-0.088836744
613,73.71397498,0.224,-0.088709399
614,73.83441152,0.226,-0.088442519
615,73.9548744,0.228,-0.088435575
616,74.07530426,0.23,-0.08845906
617,74.19574506,0.232,-0.088539258
618,74.31618012,0.234,-0.088325575
619,74.43663982,0.236,-0.088444218
620,74.55708014,0.238,-0.088442937
621,74.67752944,0.24,-0.088573292
622,74.79795718,0.242,-0.088714078
623,74.9184023,0.244,-0.088873133
624,75.03884212,0.246,-0.088248
625,75.15929672,0.248,-0.088679031
626,75.27973288,0.25,-0.088797852
627,75.4001653,0.252,-0.088827327
628,75.52062434,0.254,-0.088779882
629,75.64105742,0.256,-0.088698074
630,75.76150412,0.258,-0.088650152
631,75.8819276,0.26,-0.088631347
632,76.00236866,0.262,-0.088458642
633,76.12280644,0.264,-0.088532224
634,76.24326562,0.266,-0.088613883
635,76.36370002,0.268,-0.088426337
636,76.48415614,0.27,-0.088440463
637,76.6046064,0.272,-0.088274315
638,76.72508666,0.274,-0.088463023
639,76.84554006,0.276,-0.088615432
640,76.96599982,0.278,-0.088773116
641,77.08643994,0.28,-0.088788405
642,77.20687188,0.282,-0.088798866
643,77.32733054,0.284,-0.088759527
644,77.4477741,0.286,-0.088906541
645,77.56822548,0.288,-0.088808194
646,77.68865572,0.29,-0.088864401
647,77.8091024,0.292,-0.088880375
648,77.92954216,0.294,-0.088894203
649,78.05000352,0.296,-0.088771388
650,78.17045068,0.298,-0.088859335
651,78.29089348,0.3,-0.088795677
652,78.41132936,0.302,-0.08876352
653,78.5317864,0.304,-0.088660255
654,78.65223478,0.306,-0.088687614
655,78.77267022,0.308,-0.088711277
656,78.89311582,0.31,-0.088638738
657,79.01355304,0.312,-0.088567629
658,79.1340149,0.314,-0.088621482
659,79.2544574,0.316,-0.088735923
660,79.37491638,0.318,-0.08870624
661,79.49536098,0.32,-0.088725731
662,79.61582402,0.322,-0.088465139
663,79.73625296,0.324,-0.088555381
664,79.85670232,0.326,-0.088610485
665,79.9771538,0.328,-0.08871378
666,80.09759126,0.33,-0.08861132
667,80.21804934,0.332,-0.088560924
668,80.33848672,0.334,-0.088499352
669,80.45896124,0.336,-0.088323519
670,80.57939538,0.338,-0.088270381
671,80.6998541,0.34,-0.088342592
672,80.82030236,0.342,-0.088360623
673,80.94075394,0.344,-0.088214114
674,81.06117764,0.346,-0.088353232
675,81.18163034,0.348,-0.088147685
676,81.30206294,0.35,-0.088553086
677,81.42250594,0.352,-0.088292494
678,81.5429547,0.354,-0.088485017
679,81.663381,0.356,-0.088239148
680,81.7838252,0.358,-0.088375852
681,81.90424724,0.36,-0.087980792
682,82.02472614,0.362,-0.087968633
683,82.14517178,0.364,-0.088037655
684,82.2656192,0.366,-0.088012263
685,82.3860477,0.368,-0.088031307
686,82.5064999,0.37,-0.088008329
687,82.62693506,0.372,-0.088154808
688,82.74738424,0.374,-0.088095322
689,82.86781674,0.376,-0.088142976
690,82.98828626,0.378,-0.087590232
691,83.10870954,0.38,-0.087496921
692,83.22917304,0.382,-0.087636247
693,83.3496028,0.384,-0.087696299
694,83.47004702,0.386,-0.08752425
695,83.59049126,0.388,-0.087429062
696,83.71093388,0.39,-0.087560102
697,83.83139432,0.392,-0.087434307
698,83.95182876,0.394,-0.087359175
699,84.07228604,0.396,-0.086974457
700,84.19273438,0.398,-0.08737351
701,84.31320548,0.4,-0.087238267
702,84.43365748,0.402,-0.087430939
703,84.55411648,0.404,-0.087186024
704,84.67456432,0.406,-0.087343708
705,84.7950247,0.408,-0.087294683
706,84.9154676,0.41,-0.08714439
