wert,wert,wert,wert
s,t,U,I
558,67.0891031,0.114,-0.035132334
559,67.20954036,0.116,-0.035130858
560,67.329986,0.118,-0.035132125
561,67.45042062,0.12,-0.035135418
562,67.57085968,0.122,-0.035129964
563,67.69130968,0.124,-0.035134509
564,67.8117396,0.126,-0.03513059
565,67.93217954,0.128,-0.035133719
566,68.05263228,0.13,-0.035130262
567,68.17308166,0.132,-0.035133883
568,68.29352058,0.134,-0.035129547
569,68.41396396,0.136,-0.035135046
570,68.53441002,0.138,-0.035137683
571,68.65487994,0.14,-0.035134792
572,68.77531102,0.142,-0.035136521
573,68.89577008,0.144,-0.035129666
574,69.01621512,0.146,-0.035130292
575,69.136667,0.148,-0.035121247
576,69.2571252,0.15,-0.035122558
577,69.37756768,0.152,-0.035122871
578,69.49800346,0.154,-0.035111248
579,69.61844084,0.156,-0.035108835
580,69.73889756,0.158,-0.035094514
581,69.85932078,0.16,-0.035083041
582,69.97977692,0.162,-0.035072237
583,70.10020948,0.164,-0.035065785
584,70.22065432,0.166,-0.035065606
585,70.34108972,0.168,-0.035057291
586,70.46154498,0.17,-0.035063356
587,70.58198554,0.172,-0.035064816
588,70.7024547,0.174,-0.035077572
589,70.8229032,0.176,-0.035082161
590,70.94333626,0.178,-0.035092458
591,71.06380054,0.18,-0.035106137
592,71.18422108,0.182,-0.035111383
593,71.30468036,0.184,-0.035121426
594,71.42510738,0.186,-0.03513056
595,71.5455678,0.188,-0.035139441
596,71.66602154,0.19,-0.035140887
597,71.78647922,0.192,-0.035138935
598,71.9069335,0.194,-0.035142213
599,72.02739456,0.196,-0.035133168
600,72.14785512,0.198,-0.035130396
601,72.26830336,0.2,-0.035122141
602,72.38872744,0.202,-0.035114452
603,72.50916468,0.204,-0.035104543
604,72.6296289,0.206,-0.035096288
605,72.75007622,0.208,-0.035091326
606,72.87051984,0.21,-0.035086468
607,72.99096022,0.212,-0.035079628
608,73.11142566,0.214,-0.035078421
609,73.23187904,0.216,-0.035076633
610,73.35231742,0.218,-0.035078675
611,73.47274942,0.22,-0.035081789
612,73.59320036,0.222,-0.035088196
613,73.71363828,0.224,-0.035084993
614,73.83409336,0.226,-0.035094306
615,73.9545342,0.228,-0.035100535
616,74.07498928,0.23,-0.035100669
617,74.19543874,0.232,-0.035097301
618,74.31587482,0.234,-0.035096616
619,74.43633084,0.236,-0.035096005
620,74.55676752,0.238,-0.035091072
621,74.67722204,0.24,-0.035088196
622,74.79766374,0.242,-0.035085544
623,74.9181199,0.244,-0.035081193
624,75.03855968,0.246,-0.035074994
625,75.1590065,0.248,-0.035067111
626,75.27943706,0.25,-0.035065487
627,75.39989616,0.252,-0.035054818
628,75.52034132,0.254,-0.035051495
629,75.64080486,0.256,-0.035051495
630,75.7612591,0.258,-0.035053417
631,75.8816943,0.26,-0.035046771
632,76.00214906,0.262,-0.035051078
633,76.12258106,0.264,-0.0350537
634,76.24304218,0.266,-0.035049498
635,76.36348208,0.268,-0.035051197
636,76.4839368,0.27,-0.035042435
637,76.60436666,0.272,-0.035039455
638,76.7248218,0.274,-0.035033494
639,76.84526198,0.276,-0.035029605
640,76.96571768,0.278,-0.035026118
641,77.08615216,0.28,-0.03501378
642,77.20660108,0.282,-0.035004675
643,77.32703976,0.284,-0.03500177
644,77.44748204,0.286,-0.034996852
645,77.56792298,0.288,-0.034997016
646,77.68836816,0.29,-0.034991935
647,77.808828,0.292,-0.034984797
648,77.92926342,0.294,-0.034978181
649,78.04971102,0.296,-0.034974843
650,78.17014632,0.298,-0.03497079
651,78.29060752,0.3,-0.0349655
652,78.41103942,0.302,-0.034963265
653,78.5314999,0.304,-0.034958184
654,78.65193276,0.306,-0.034956634
655,78.77239958,0.308,-0.034951761
656,78.89283528,0.31,-0.034951806
657,79.0132769,0.312,-0.034948587
658,79.13373056,0.314,-0.034946874
659,79.2541688,0.316,-0.034936488
660,79.37461518,0.318,-0.03492938
661,79.49504768,0.32,-0.034928948
662,79.6155029,0.322,-0.034922957
663,79.7359383,0.324,-0.034912586
664,79.85638308,0.326,-0.034903735
665,79.97681276,0.328,-0.034896269
666,80.09726588,0.33,-0.034886271
667,80.21770126,0.332,-0.034873098
668,80.33815008,0.334,-0.034865215
669,80.45858424,0.336,-0.034850776
670,80.57901172,0.338,-0.03483814
671,80.69947578,0.34,-0.034828842
672,80.81991222,0.342,-0.034825414
673,80.94036042,0.344,-0.034820497
674,81.06077822,0.346,-0.034807175
675,81.18121924,0.348,-0.034798533
676,81.30165916,0.35,-0.034790128
677,81.42211752,0.352,-0.034782156
678,81.54256262,0.354,-0.034770295
679,81.66300488,0.356,-0.034758076
680,81.78343536,0.358,-0.034752041
681,81.90388204,0.36,-0.034735814
682,82.02433292,0.362,-0.034726053
683,82.1447802,0.364,-0.034709275
684,82.26520824,0.366,-0.034698591
685,82.38564858,0.368,-0.034679979
686,82.50610904,0.37,-0.034661174
687,82.62655522,0.372,-0.034647569
688,82.74700988,0.374,-0.034625292
689,82.86744532,0.376,-0.034601405
690,82.98789508,0.378,-0.034586608
691,83.10832852,0.38,-0.034557596
692,83.22878016,0.382,-0.03454189
693,83.34920284,0.384,-0.034522131
694,83.4696659,0.386,-0.034500703
695,83.59011422,0.388,-0.034471363
696,83.71057288,0.39,-0.034450367
697,83.8310008,0.392,-0.034425676
698,83.9514369,0.394,-0.034397915
699,84.07188272,0.396,-0.034372211
700,84.19231226,0.398,-0.034344032
701,84.3127643,0.4,-0.034314603
702,84.43319482,0.402,-0.03428635
703,84.55366352,0.404,-0.034257308
704,84.6740876,0.406,-0.034219638
705,84.79453338,0.408,-0.034186617
706,84.91498026,0.41,-0.03415066
