t / s;T_1 / °C;T_2 / °C;T_3 / °C;T_4 / °C;&DT / °C
483;15,8;25,5;10,9;27,3;-9,7
484;15,7;25,5;10,8;27,3;-9,8
485;15,7;25,5;10,8;27,3;-9,8
486;15,5;25,6;10,8;27,3;-10,1
487;15,3;25,6;10,8;27,3;-10,3
488;15,3;25,6;10,8;27,3;-10,3
489;15,3;25,6;10,8;27,3;-10,3
490;15,2;25,6;10,7;27,3;-10,4
491;15,1;25,6;10,7;27,3;-10,5
492;15;25,6;10,7;27,3;-10,6
493;15,2;25,6;10,7;27,3;-10,4
494;15,3;25,6;10,7;27,3;-10,3
495;15,3;25,6;10,7;27,4;-10,3
496;15,2;25,6;10,7;27,5;-10,4
497;15,2;25,6;10,7;27,5;-10,4
498;15,3;25,6;10,7;27,5;-10,3
499;15,5;25,7;10,7;27,5;-10,2
500;15,5;25,7;10,7;27,7;-10,2
501;15,6;25,8;10,7;27,8;-10,2
502;15,4;25,8;10,7;27,8;-10,4
503;15,4;25,7;10,7;28;-10,3
504;15,5;25,8;10,7;28;-10,3
505;15,5;25,8;10,7;28;-10,3
506;15,4;25,8;10,7;28;-10,4
507;15,3;25,8;10,7;28,1;-10,5
508;15,4;25,9;10,7;28,2;-10,5
509;15,5;25,9;10,7;28,2;-10,4
510;15,4;25,8;10,7;28,2;-10,4
511;15,4;25,8;10,7;28,2;-10,4
512;15,4;25,8;10,6;28,3;-10,4
513;15,3;25,8;10,6;28,3;-10,5
514;15,2;25,9;10,6;28,3;-10,7
515;15,2;25,9;10,6;28,4;-10,7
516;15,2;25,9;10,6;28,4;-10,7
517;15,2;25,9;10,6;28,5;-10,7
518;15,2;25,9;10,6;28,5;-10,7
519;15,2;25,9;10,6;28,5;-10,7
520;15,2;25,9;10,6;28,5;-10,7
521;15,2;25,9;10,6;28,5;-10,7
522;15,1;25,9;10,6;28,5;-10,8
523;14,9;25,9;10,6;28,6;-11
524;14,9;25,9;10,6;28,6;-11
525;14,9;25,8;10,6;28,6;-10,9
526;15;25,8;10,6;28,6;-10,8
527;15;25,8;10,6;28,7;-10,8
528;15,1;25,8;10,6;28,7;-10,7
529;15,1;25,8;10,6;28,7;-10,7
530;15,1;25,9;10,6;28,7;-10,8
531;15,1;26;10,6;28,7;-10,9
532;15;26;10,6;28,7;-11
533;15;26;10,6;28,7;-11
534;15;26;10,6;28,7;-11
535;14,9;26;10,6;28,7;-11,1
536;14,8;26;10,6;28,8;-11,2
537;14,7;26;10,6;28,8;-11,3
538;14,6;26;10,6;28,8;-11,4
539;14,5;26;10,6;28,8;-11,5
540;14,5;25,9;10,6;28,8;-11,4
541;14,5;25,9;10,6;28,8;-11,4
542;14,5;25,9;10,6;28,8;-11,4
